video_id,title,channel,published_at,time_bin
iOTCsXd38Ng,What if plastic didn’t last forever? #TEDTalks,TED,2026-02-08 19:00:41+00:00,2020+
d1yfb93beSI,How to Introduce Yourself — and Get Hired | Rebecca Okamoto | TED,TED,2026-02-08 16:00:53+00:00,2020+
yrVtEkCC8uY,These ads could encourage people to think twice before buying #TEDTalks,TED,2026-02-07 19:01:00+00:00,2020+
an6ZM0iCGQw,Let’s Build AI Data Centers in Space | Philip Johnston | TED,TED,2026-02-06 16:00:07+00:00,2020+
bA9xGDsQADo,Today’s athletes ARE built different #TEDTalks,TED,2026-02-05 20:00:34+00:00,2020+
kryWR7QNBkc,What Successful Negotiators Do Differently | Kathryn Valentine | TED,TED,2026-02-05 17:01:10+00:00,2020+
c7rtbTnmnzI,“When you get rejected in life ... consider the possibilities.” #TEDTalks,TED,2026-02-03 22:00:41+00:00,2020+
HtzG2AoahAo,What Gets Lost When We Treat Conversations Like Transactions | Khaya Dlanga | TED,TED,2026-02-03 16:00:24+00:00,2020+
-CAzAfDhbwU,Is Inviting Everyone to the Meeting Holding Back Global Cooperation?  | Qahir Dhanani | TED,TED,2026-02-02 16:00:00+00:00,2020+
vkHuZY-x5DA,Ustopias invite us into a collective imagination where everyone has what they need to thrive #TED,TED,2026-02-01 17:01:30+00:00,2020+
7IYKojMhBy4,The Surprisingly Simple Reason Teams Fail | Tessa West | TED,TED,2026-02-01 16:00:20+00:00,2020+
roc73qEYhXY,This unsung hero inside your body saves you more than you know! #TEDTalks,TED,2026-01-31 18:01:02+00:00,2020+
X564_fIhp_0,How to Become a K-pop Superstar — in 7 Minutes | Charlene Kaye | TED,TED,2026-01-31 16:01:00+00:00,2020+
VoPDKjFHIDU,"Silence, the Universal Medicine | Pico Iyer | TED",TED,2026-01-30 16:00:57+00:00,2020+
VFY6NTaw9mM,"Do you have aphantasia, hyperphantasia — or something in between? #TEDTalks",TED,2026-01-29 20:00:24+00:00,2020+
YBH8rQv4aTQ,This Is How Kids Should Be Learning with AI | Priya Lakhani | TED,TED,2026-01-29 16:00:52+00:00,2020+
Mqk_j_248MU,"A vision for school that prioritizes real-world problem solving, instead of teaching to test #TED",TED,2026-01-27 20:00:17+00:00,2020+
E74vI_Nrn4k,The Spiritual Wisdom We Need for a Planet in Crisis | Tariq Al-Olaimy | TED,TED,2026-01-27 16:00:31+00:00,2020+
LsM8fyov0iI,Why Your Blood Should Flow Like Ketchup | Sean Farrington | TED,TED,2026-01-26 16:00:36+00:00,2020+
IuzK04m-Px4,Flag football’s debut at the 2028 Olympics may be a turning point #TEDTalks,TED,2026-01-25 20:00:20+00:00,2020+
VA2hdDoSM4s,"How to Communicate with Your Dog, from a Westminster Champion | Jennifer Crank | TED",TED,2026-01-25 16:00:44+00:00,2020+
E6oZzu_ui0E,"As you scroll, remember to ask yourself, ""How am I being influenced?""",TED,2026-01-24 20:00:09+00:00,2020+
vsMqvHqnRUs,"Ahead of Skyscraper Live, hear the story behind Alex Honnold’s free solo at El Capitan #TEDTalks",TED,2026-01-23 20:00:54+00:00,2020+
aWGu4owdXrM,What I Learned from Cooking My Way Across a Continent | Dieuveil Malonga | TED,TED,2026-01-23 16:00:02+00:00,2020+
ojttMNOW6zM,Can You Picture Things in Your Mind? I Can’t | Alex Rosenthal | TED,TED,2026-01-22 17:01:19+00:00,2020+
nCSexSgcIuI,The first 3 words Matthew McConaughey ever said on film became his forever catchphrase #TEDTalks,TED,2026-01-21 21:00:54+00:00,2020+
81slns4Dte8,This Movie Changes Every Time You Watch It | Gary Hustwit | TED,TED,2026-01-20 21:00:09+00:00,2020+
DY2ojllbpFc,The Trap of Win-Lose Thinking (and How to Escape It) | John Mackey | TED,TED,2026-01-20 16:00:31+00:00,2020+
w-kKNnnqOHk,We know the internet affects mental health — but what about your body? #TEDTalks,TED,2026-01-19 20:00:49+00:00,2020+
tKO9WgPZ0Bc,Why Are We Demolishing Homes During a Housing Crisis? | Olaf Grawert | TED,TED,2026-01-18 16:01:31+00:00,2020+
uqWh9Qt6Wc4,"Yes, use AI, but don’t let it use you #TEDTalks",TED,2026-01-17 19:30:09+00:00,2020+
ZYIUnmrkmRI,TED Talks Daily Book Club: Meditations for Mortals | Oliver Burkeman | TED,TED,2026-01-17 16:00:56+00:00,2020+
C6lTGCAitXg,The Brilliance of Bacteria (and How They Combat Waste) | Patricia Aymà Maldonado | TED,TED,2026-01-16 16:00:18+00:00,2020+
2-7U8bLjlJE,It turns out you really are what you eat #TEDTalks,TED,2026-01-15 19:30:01+00:00,2020+
P1rPiSxYagM,AI’s Next Frontier Isn’t Where You Might Expect | Hardy Pemhiwa | TED,TED,2026-01-15 16:00:39+00:00,2020+
Kc6cvBFoEzA,"Your best friend counts as a life partner, too #TEDTalks",TED,2026-01-13 17:00:27+00:00,2020+
Bej0gPnHoTY,How a Teddy Bear Company Outpaced Tech Giants | Sharon Price John | TED,TED,2026-01-13 16:00:17+00:00,2020+
2pPPJbnZOtQ,How Ibogaine Could Treat Depression and Anxiety | Nolan Williams | TED,TED,2026-01-12 16:00:10+00:00,2020+
t5BqFmvHRtc,Looking at the world with appreciation may help you on your hardest days #TEDTalks,TED,2026-01-11 18:01:03+00:00,2020+
-iGbPbAaqLs,Schools Urgently Need a Redesign. Here’s How | Aylon Samouha | TED,TED,2026-01-11 16:00:00+00:00,2020+
K5NEEAr-D6Q,Scared to try something new? Daredevil @MichelleKhare says embrace an amateur’s mindset #TEDTalks,TED,2026-01-10 19:00:32+00:00,2020+
1O9WjWzvz9I,"""You cannot have democracy if people are not free."" – Leopoldo López #TEDTalks",TED,2026-01-09 22:00:05+00:00,2020+
5gm15Q4iSZg,TACO vs. FAFO: Geopolitical expert Ian Bremmer on acronyms describing Trump #TEDTalks,TED,2026-01-09 17:00:10+00:00,2020+
wx2Ml3vWHys,Why I Spend Hours Sketching in Conflict Zones | George Butler | TED,TED,2026-01-09 16:01:39+00:00,2020+
rh4lXr8JCNQ,"2026 is a tipping point year, says political scientist Ian Bremmer. #TEDTalks",TED,2026-01-08 17:30:18+00:00,2020+
fStLnjrZF_c,How AI Is Unearthing Hidden Scientific Knowledge | Sara Beery | TED,TED,2026-01-08 16:01:06+00:00,2020+
dqVfnC_muaI,The Biggest Global Risks for 2026 | TED Explains the World with Ian Bremmer,TED,2026-01-06 21:05:18+00:00,2020+
