video_id,status,n_comments
iOTCsXd38Ng,fail: name 'get_top_level_comments' is not defined,0
d1yfb93beSI,fail: name 'get_top_level_comments' is not defined,0
yrVtEkCC8uY,fail: name 'get_top_level_comments' is not defined,0
an6ZM0iCGQw,fail: name 'get_top_level_comments' is not defined,0
bA9xGDsQADo,fail: name 'get_top_level_comments' is not defined,0
kryWR7QNBkc,fail: name 'get_top_level_comments' is not defined,0
c7rtbTnmnzI,fail: name 'get_top_level_comments' is not defined,0
HtzG2AoahAo,fail: name 'get_top_level_comments' is not defined,0
-CAzAfDhbwU,fail: name 'get_top_level_comments' is not defined,0
vkHuZY-x5DA,fail: name 'get_top_level_comments' is not defined,0
7IYKojMhBy4,fail: name 'get_top_level_comments' is not defined,0
roc73qEYhXY,fail: name 'get_top_level_comments' is not defined,0
X564_fIhp_0,fail: name 'get_top_level_comments' is not defined,0
VoPDKjFHIDU,fail: name 'get_top_level_comments' is not defined,0
VFY6NTaw9mM,fail: name 'get_top_level_comments' is not defined,0
YBH8rQv4aTQ,fail: name 'get_top_level_comments' is not defined,0
Mqk_j_248MU,fail: name 'get_top_level_comments' is not defined,0
E74vI_Nrn4k,fail: name 'get_top_level_comments' is not defined,0
LsM8fyov0iI,fail: name 'get_top_level_comments' is not defined,0
IuzK04m-Px4,fail: name 'get_top_level_comments' is not defined,0
VA2hdDoSM4s,fail: name 'get_top_level_comments' is not defined,0
E6oZzu_ui0E,fail: name 'get_top_level_comments' is not defined,0
vsMqvHqnRUs,fail: name 'get_top_level_comments' is not defined,0
aWGu4owdXrM,fail: name 'get_top_level_comments' is not defined,0
ojttMNOW6zM,fail: name 'get_top_level_comments' is not defined,0
nCSexSgcIuI,fail: name 'get_top_level_comments' is not defined,0
81slns4Dte8,fail: name 'get_top_level_comments' is not defined,0
DY2ojllbpFc,fail: name 'get_top_level_comments' is not defined,0
w-kKNnnqOHk,fail: name 'get_top_level_comments' is not defined,0
tKO9WgPZ0Bc,fail: name 'get_top_level_comments' is not defined,0
uqWh9Qt6Wc4,fail: name 'get_top_level_comments' is not defined,0
ZYIUnmrkmRI,fail: name 'get_top_level_comments' is not defined,0
C6lTGCAitXg,fail: name 'get_top_level_comments' is not defined,0
2-7U8bLjlJE,fail: name 'get_top_level_comments' is not defined,0
P1rPiSxYagM,fail: name 'get_top_level_comments' is not defined,0
Kc6cvBFoEzA,fail: name 'get_top_level_comments' is not defined,0
Bej0gPnHoTY,fail: name 'get_top_level_comments' is not defined,0
2pPPJbnZOtQ,fail: name 'get_top_level_comments' is not defined,0
t5BqFmvHRtc,fail: name 'get_top_level_comments' is not defined,0
-iGbPbAaqLs,fail: name 'get_top_level_comments' is not defined,0
K5NEEAr-D6Q,fail: name 'get_top_level_comments' is not defined,0
1O9WjWzvz9I,fail: name 'get_top_level_comments' is not defined,0
5gm15Q4iSZg,fail: name 'get_top_level_comments' is not defined,0
wx2Ml3vWHys,fail: name 'get_top_level_comments' is not defined,0
rh4lXr8JCNQ,fail: name 'get_top_level_comments' is not defined,0
fStLnjrZF_c,fail: name 'get_top_level_comments' is not defined,0
dqVfnC_muaI,fail: name 'get_top_level_comments' is not defined,0
1E4rBf6oNvM,fail: name 'get_top_level_comments' is not defined,0
cJfKqKEyw1o,fail: name 'get_top_level_comments' is not defined,0
ZLq1SbBQRWY,fail: name 'get_top_level_comments' is not defined,0
RX0ik6nWc58,fail: name 'get_top_level_comments' is not defined,0
L2OVDJ6cDJc,fail: name 'get_top_level_comments' is not defined,0
YrZqeJLJzpM,fail: name 'get_top_level_comments' is not defined,0
3bbSk3899Po,fail: name 'get_top_level_comments' is not defined,0
_ozdlc2ouYc,fail: name 'get_top_level_comments' is not defined,0
gw0UK24zFxw,fail: name 'get_top_level_comments' is not defined,0
0R_CJjGRX7o,fail: name 'get_top_level_comments' is not defined,0
X3EK8cR6Tas,fail: name 'get_top_level_comments' is not defined,0
rGOTVtXkaRs,fail: name 'get_top_level_comments' is not defined,0
kND0iGErBk8,fail: name 'get_top_level_comments' is not defined,0
eJUFdB_TN0U,fail: name 'get_top_level_comments' is not defined,0
3lPnN8omdPA,fail: name 'get_top_level_comments' is not defined,0
Mz1ItbiNqxw,fail: name 'get_top_level_comments' is not defined,0
oea9KJtKejI,fail: name 'get_top_level_comments' is not defined,0
ZkXrTHpnQrQ,fail: name 'get_top_level_comments' is not defined,0
cbPMxoe00gE,fail: name 'get_top_level_comments' is not defined,0
741j2Jne1EM,fail: name 'get_top_level_comments' is not defined,0
yI_Zm4p-6g0,fail: name 'get_top_level_comments' is not defined,0
AbmQFGTyJKA,fail: name 'get_top_level_comments' is not defined,0
ChDw2Vd_bBE,fail: name 'get_top_level_comments' is not defined,0
J1WIKUd13D0,fail: name 'get_top_level_comments' is not defined,0
kIf8MjwS1Po,fail: name 'get_top_level_comments' is not defined,0
tum_5LyL0Q4,fail: name 'get_top_level_comments' is not defined,0
pp8vdZdNl2A,fail: name 'get_top_level_comments' is not defined,0
Uyx8vYm9Og0,fail: name 'get_top_level_comments' is not defined,0
Kx6txsLiUT4,fail: name 'get_top_level_comments' is not defined,0
97IwoIqBCZk,fail: name 'get_top_level_comments' is not defined,0
hZMaiUsIQog,fail: name 'get_top_level_comments' is not defined,0
TM179asvB3Y,fail: name 'get_top_level_comments' is not defined,0
S_GuLdbMveQ,fail: name 'get_top_level_comments' is not defined,0
gsTYBRC0iys,fail: name 'get_top_level_comments' is not defined,0
rEJhJj0eLm4,fail: name 'get_top_level_comments' is not defined,0
Y54XtvEzI8I,fail: name 'get_top_level_comments' is not defined,0
XsC-PNXXv0s,fail: name 'get_top_level_comments' is not defined,0
ptiYMxOVgRs,fail: name 'get_top_level_comments' is not defined,0
p8Ed8pDlAmM,fail: name 'get_top_level_comments' is not defined,0
UOIKYvl558w,fail: name 'get_top_level_comments' is not defined,0
vE2_KZH8fDQ,fail: name 'get_top_level_comments' is not defined,0
F63iukJiwiY,fail: name 'get_top_level_comments' is not defined,0
STUwbUCEtUw,fail: name 'get_top_level_comments' is not defined,0
kUYeHxez06o,fail: name 'get_top_level_comments' is not defined,0
7onAN_t68t0,fail: name 'get_top_level_comments' is not defined,0
tSqsZbOaO_8,fail: name 'get_top_level_comments' is not defined,0
SjLO9ogmyQU,fail: name 'get_top_level_comments' is not defined,0
YNeMzfhJC38,fail: name 'get_top_level_comments' is not defined,0
Pry6l7h48ro,fail: name 'get_top_level_comments' is not defined,0
UQwd9_XivaE,fail: name 'get_top_level_comments' is not defined,0
JdS4XiNKNWY,fail: name 'get_top_level_comments' is not defined,0
MuSvgDpv4Io,fail: name 'get_top_level_comments' is not defined,0
Hjj7Nv_0--4,fail: name 'get_top_level_comments' is not defined,0
