video_id,status,n_comments,error
iOTCsXd38Ng,ok,11,
d1yfb93beSI,ok,43,
yrVtEkCC8uY,ok,4,
an6ZM0iCGQw,ok,83,
bA9xGDsQADo,ok,6,
kryWR7QNBkc,ok,30,
c7rtbTnmnzI,ok,13,
HtzG2AoahAo,ok,23,
-CAzAfDhbwU,ok,10,
vkHuZY-x5DA,ok,21,
7IYKojMhBy4,ok,27,
roc73qEYhXY,ok,14,
X564_fIhp_0,ok,500,
VoPDKjFHIDU,ok,46,
VFY6NTaw9mM,ok,45,
YBH8rQv4aTQ,ok,55,
Mqk_j_248MU,ok,15,
E74vI_Nrn4k,ok,9,
LsM8fyov0iI,ok,15,
IuzK04m-Px4,ok,14,
VA2hdDoSM4s,ok,74,
E6oZzu_ui0E,ok,11,
vsMqvHqnRUs,ok,60,
aWGu4owdXrM,ok,14,
ojttMNOW6zM,ok,500,
nCSexSgcIuI,ok,11,
81slns4Dte8,ok,39,
DY2ojllbpFc,ok,20,
w-kKNnnqOHk,ok,10,
tKO9WgPZ0Bc,ok,33,
uqWh9Qt6Wc4,ok,11,
ZYIUnmrkmRI,ok,8,
C6lTGCAitXg,ok,15,
2-7U8bLjlJE,ok,9,
P1rPiSxYagM,ok,169,
Kc6cvBFoEzA,ok,11,
Bej0gPnHoTY,ok,19,
2pPPJbnZOtQ,ok,82,
t5BqFmvHRtc,ok,12,
-iGbPbAaqLs,ok,45,
K5NEEAr-D6Q,ok,12,
1O9WjWzvz9I,ok,21,
5gm15Q4iSZg,ok,11,
wx2Ml3vWHys,ok,13,
rh4lXr8JCNQ,ok,24,
fStLnjrZF_c,ok,52,
dqVfnC_muaI,ok,187,
1E4rBf6oNvM,ok,34,
cJfKqKEyw1o,ok,185,
ZLq1SbBQRWY,ok,124,
RX0ik6nWc58,ok,3,
L2OVDJ6cDJc,ok,104,
YrZqeJLJzpM,ok,28,
3bbSk3899Po,ok,26,
_ozdlc2ouYc,ok,16,
gw0UK24zFxw,ok,7,
0R_CJjGRX7o,ok,306,
X3EK8cR6Tas,ok,8,
rGOTVtXkaRs,ok,40,
kND0iGErBk8,ok,164,
eJUFdB_TN0U,ok,27,
3lPnN8omdPA,ok,204,
Mz1ItbiNqxw,ok,31,
oea9KJtKejI,ok,8,
ZkXrTHpnQrQ,ok,500,
cbPMxoe00gE,ok,31,
741j2Jne1EM,ok,11,
yI_Zm4p-6g0,ok,5,
AbmQFGTyJKA,ok,88,
ChDw2Vd_bBE,ok,30,
J1WIKUd13D0,ok,13,
kIf8MjwS1Po,ok,34,
tum_5LyL0Q4,ok,13,
pp8vdZdNl2A,ok,204,
Uyx8vYm9Og0,ok,9,
Kx6txsLiUT4,ok,51,
97IwoIqBCZk,ok,41,
hZMaiUsIQog,ok,18,
TM179asvB3Y,ok,6,
S_GuLdbMveQ,ok,16,
gsTYBRC0iys,ok,15,
rEJhJj0eLm4,ok,23,
Y54XtvEzI8I,ok,19,
XsC-PNXXv0s,ok,14,
ptiYMxOVgRs,ok,61,
p8Ed8pDlAmM,ok,52,
UOIKYvl558w,ok,7,
vE2_KZH8fDQ,ok,67,
F63iukJiwiY,ok,23,
STUwbUCEtUw,ok,25,
kUYeHxez06o,ok,2,
7onAN_t68t0,ok,49,
tSqsZbOaO_8,ok,25,
SjLO9ogmyQU,ok,72,
YNeMzfhJC38,ok,12,
Pry6l7h48ro,ok,69,
UQwd9_XivaE,ok,31,
JdS4XiNKNWY,ok,18,
MuSvgDpv4Io,ok,84,
Hjj7Nv_0--4,ok,25,
sleiarPAgKc,ok,48,
eFroGU5wZUI,ok,1,
Bl-vPf_IAoA,ok,123,
wXBjUxe4Lvk,ok,24,
RXwQ7_hlL3g,ok,277,
Fvg9sUgqbXc,ok,15,
7WurcdAkX-A,ok,28,
C1TqBmezv20,ok,53,
A6hzHov7Kng,ok,123,
ueaAdCKDCH0,ok,25,
CfPFU4UaaRA,ok,14,
KTM2XfNpeWA,ok,1,
PFhhtot1q1M,ok,3,
p0IpMqUZKbs,ok,15,
cesx1-XaLb8,ok,17,
zxKFzT6GjUk,ok,29,
CwfEXpoD7_I,ok,29,
YQRt9TfpetM,ok,221,
j0XdDGiZs9M,ok,3,
BZflSdA4Q44,ok,18,
