video_id,title,channel,published_at
iOTCsXd38Ng,What if plastic didn’t last forever? #TEDTalks,TED,2026-02-08T19:00:41Z
d1yfb93beSI,How to Introduce Yourself — and Get Hired | Rebecca Okamoto | TED,TED,2026-02-08T16:00:53Z
yrVtEkCC8uY,These ads could encourage people to think twice before buying #TEDTalks,TED,2026-02-07T19:01:00Z
an6ZM0iCGQw,Let’s Build AI Data Centers in Space | Philip Johnston | TED,TED,2026-02-06T16:00:07Z
bA9xGDsQADo,Today’s athletes ARE built different #TEDTalks,TED,2026-02-05T20:00:34Z
kryWR7QNBkc,What Successful Negotiators Do Differently | Kathryn Valentine | TED,TED,2026-02-05T17:01:10Z
c7rtbTnmnzI,“When you get rejected in life ... consider the possibilities.” #TEDTalks,TED,2026-02-03T22:00:41Z
HtzG2AoahAo,What Gets Lost When We Treat Conversations Like Transactions | Khaya Dlanga | TED,TED,2026-02-03T16:00:24Z
-CAzAfDhbwU,Is Inviting Everyone to the Meeting Holding Back Global Cooperation?  | Qahir Dhanani | TED,TED,2026-02-02T16:00:00Z
vkHuZY-x5DA,Ustopias invite us into a collective imagination where everyone has what they need to thrive #TED,TED,2026-02-01T17:01:30Z
7IYKojMhBy4,The Surprisingly Simple Reason Teams Fail | Tessa West | TED,TED,2026-02-01T16:00:20Z
roc73qEYhXY,This unsung hero inside your body saves you more than you know! #TEDTalks,TED,2026-01-31T18:01:02Z
X564_fIhp_0,How to Become a K-pop Superstar — in 7 Minutes | Charlene Kaye | TED,TED,2026-01-31T16:01:00Z
VoPDKjFHIDU,"Silence, the Universal Medicine | Pico Iyer | TED",TED,2026-01-30T16:00:57Z
VFY6NTaw9mM,"Do you have aphantasia, hyperphantasia — or something in between? #TEDTalks",TED,2026-01-29T20:00:24Z
YBH8rQv4aTQ,This Is How Kids Should Be Learning with AI | Priya Lakhani | TED,TED,2026-01-29T16:00:52Z
Mqk_j_248MU,"A vision for school that prioritizes real-world problem solving, instead of teaching to test #TED",TED,2026-01-27T20:00:17Z
E74vI_Nrn4k,The Spiritual Wisdom We Need for a Planet in Crisis | Tariq Al-Olaimy | TED,TED,2026-01-27T16:00:31Z
LsM8fyov0iI,Why Your Blood Should Flow Like Ketchup | Sean Farrington | TED,TED,2026-01-26T16:00:36Z
IuzK04m-Px4,Flag football’s debut at the 2028 Olympics may be a turning point #TEDTalks,TED,2026-01-25T20:00:20Z
VA2hdDoSM4s,"How to Communicate with Your Dog, from a Westminster Champion | Jennifer Crank | TED",TED,2026-01-25T16:00:44Z
E6oZzu_ui0E,"As you scroll, remember to ask yourself, ""How am I being influenced?""",TED,2026-01-24T20:00:09Z
vsMqvHqnRUs,"Ahead of Skyscraper Live, hear the story behind Alex Honnold’s free solo at El Capitan #TEDTalks",TED,2026-01-23T20:00:54Z
aWGu4owdXrM,What I Learned from Cooking My Way Across a Continent | Dieuveil Malonga | TED,TED,2026-01-23T16:00:02Z
ojttMNOW6zM,Can You Picture Things in Your Mind? I Can’t | Alex Rosenthal | TED,TED,2026-01-22T17:01:19Z
nCSexSgcIuI,The first 3 words Matthew McConaughey ever said on film became his forever catchphrase #TEDTalks,TED,2026-01-21T21:00:54Z
81slns4Dte8,This Movie Changes Every Time You Watch It | Gary Hustwit | TED,TED,2026-01-20T21:00:09Z
DY2ojllbpFc,The Trap of Win-Lose Thinking (and How to Escape It) | John Mackey | TED,TED,2026-01-20T16:00:31Z
w-kKNnnqOHk,We know the internet affects mental health — but what about your body? #TEDTalks,TED,2026-01-19T20:00:49Z
tKO9WgPZ0Bc,Why Are We Demolishing Homes During a Housing Crisis? | Olaf Grawert | TED,TED,2026-01-18T16:01:31Z
uqWh9Qt6Wc4,"Yes, use AI, but don’t let it use you #TEDTalks",TED,2026-01-17T19:30:09Z
ZYIUnmrkmRI,TED Talks Daily Book Club: Meditations for Mortals | Oliver Burkeman | TED,TED,2026-01-17T16:00:56Z
C6lTGCAitXg,The Brilliance of Bacteria (and How They Combat Waste) | Patricia Aymà Maldonado | TED,TED,2026-01-16T16:00:18Z
2-7U8bLjlJE,It turns out you really are what you eat #TEDTalks,TED,2026-01-15T19:30:01Z
P1rPiSxYagM,AI’s Next Frontier Isn’t Where You Might Expect | Hardy Pemhiwa | TED,TED,2026-01-15T16:00:39Z
Kc6cvBFoEzA,"Your best friend counts as a life partner, too #TEDTalks",TED,2026-01-13T17:00:27Z
Bej0gPnHoTY,How a Teddy Bear Company Outpaced Tech Giants | Sharon Price John | TED,TED,2026-01-13T16:00:17Z
2pPPJbnZOtQ,How Ibogaine Could Treat Depression and Anxiety | Nolan Williams | TED,TED,2026-01-12T16:00:10Z
t5BqFmvHRtc,Looking at the world with appreciation may help you on your hardest days #TEDTalks,TED,2026-01-11T18:01:03Z
-iGbPbAaqLs,Schools Urgently Need a Redesign. Here’s How | Aylon Samouha | TED,TED,2026-01-11T16:00:00Z
